source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Mike Espy,,2020-03-04 19:10:09,Enjoyed speaking to students at Tougaloo for the Reuben Anderson Pre-Law Convocation. A great program to prepare students for the careers that await.,64,60,,4,,,,,2574931566055764,/story.php?story_fbid=2574931566055764&id=2081864865362439
Mike Espy,,2020-03-04 10:48:21,"Do you have a mail-in absentee ballot and haven’t mailed it back yet?  Mail-in absentee ballots must be RECEIVED (not postmarked) by Monday, March 9th at 5pm.  Don’t forget…..return your ballots and make your vote count!!!! #MSSen",7,7,,,,,,,2574666062748981,/story.php?story_fbid=2574666062748981&id=2081864865362439
Mike Espy,,2020-03-04 10:48:00,"There are only 4 more days to vote absentee in-person. If you’ll be out of town or working on Election Day, GO VOTE at your local Circuit Clerk's Office!!!!  The LAST day to vote absentee in-person is this Saturday from 8am-noon.  #MSSen",13,13,,,,,,,2574665369415717,/story.php?story_fbid=2574665369415717&id=2081864865362439
Mike Espy,,2020-03-04 10:43:55,"Proud to have the support of Human Rights Campaign. Human rights are the basic rights and freedoms that belong to everyone and aren't dependent upon one's age, race, religion, gender, sexual orientation, or disability. HRC's work to advance equality in the LGBTQ community is remarkable.",442,330,,111,1,,,10,2574662039416050,/story.php?story_fbid=2574662039416050&id=2081864865362439
Mike Espy,,2020-03-03 21:27:08,Many young professionals like the ones here at the Young Professionals event tonight choose to stay in Mississippi to build their career and family. We must give more of them a reason to stay and invest in Mississippi. #MSSen,212,178,2,32,,,,8,2574234892792098,/story.php?story_fbid=2574234892792098&id=2081864865362439
Mike Espy,,2020-03-03 19:30:55,"Always enjoy attending Women for Progress of MS, Inc.’s Lunch & Learn. Thank you for having me.",41,37,,4,,,,3,2574161886132732,/story.php?story_fbid=2574161886132732&id=2081864865362439
Mike Espy,,2020-03-03 18:20:26,,28,26,,2,,,,3,3048608745183679,/events/3048608745183679?view=permalink&id=3048608755183678
Mike Espy,,2020-03-03 14:19:01,🚨🚨Endorsement Alert 🚨🚨 I am honored to have the support of over 70 elected officials from across Mississippi. Our campaign’s momentum continues to grow and their early support is further proof that we are ready to move Mississippi forward. #MSSen,196,153,1,42,,,,7,2574003986148522,/story.php?story_fbid=2574003986148522&id=2081864865362439
Mike Espy,,2020-03-03 12:06:19,Today is #SuperTuesday which means that Mississippi we're up next. Have you made your voting plans? Find out your polling location here: https://www.sos.ms.gov/PollingPlace/Pages/default.aspx,39,39,,,,,,4,2573917489490505,/story.php?story_fbid=2573917489490505&id=2081864865362439
Mike Espy,,2020-03-02 22:18:21,Join me this Friday at Broad Street Bakery & Cafe for a cup of coffee on me.,49,42,,7,,,,,2573495932865994,/story.php?story_fbid=2573495932865994&id=2081864865362439
Mike Espy,,2020-03-02 21:16:37,,36,35,,1,,,,1,1927600720707878,/events/1927600720707878?view=permalink&id=1927600730707877
Mike Espy,,2020-03-01 19:42:08,"As March brings an end to Black History Month and the start of Women’s History Month, I would like to honor one of my personal heroes: Fannie Lou Hamer. Hamer rose from humble beginnings in the Mississippi Delta to become one of the most powerful voices of the civil and voting rights movements.  She passionately said “that’s why I want to change Mississippi. You don’t run away from problems – you just face them.”",530,333,1,191,3,1,1,20,2572667439615510,/story.php?story_fbid=2572667439615510&id=2081864865362439
Mike Espy,,2020-03-01 19:39:37,"We have a lot of work to do in Mississippi. From making sure every Mississippian has access to quality, affordable healthcare to improving educational opportunities for our children regardless of zip code. I’m ready to take on the tough fights. #MSSen Join us - https://espyforsenate.com",150,133,,17,,,,2,2572666172948970,/story.php?story_fbid=2572666172948970&id=2081864865362439
Mike Espy,,2020-03-01 15:26:43,"Today, we commemorate the 55th anniversary of Bloody Sunday, a historic milestone of the Civil Rights Movement. Those brave souls marched across the Edmund Pettus Bridge to give a voice to all voters. We must honor their sacrifice and vote. #Selma55",98,83,,13,,2,,2,2572543769627877,/story.php?story_fbid=2572543769627877&id=2081864865362439
Mike Espy,,2020-02-29 14:41:20,Many schools in Mississippi rely upon the Rural and Low-Income School Program. It’s the only dedicated federal funding stream for rural school districts. An immediate cut to the funding of this program is insensitive and cold-hearted.  https://www.nytimes.com/2020/02/28/us/politics/rural-schools-funding-cut.html?referringSource=articleShare,86,52,,,1,14,19,6,2571744653041122,/story.php?story_fbid=2571744653041122&id=2081864865362439
Mike Espy,,2020-02-29 11:54:02,"There’s so much on the line in 2020: 🏥 Healthcare  📚 College affordability  💵 Raising the minimum wage ♻️ Tackling the climate crisis  To make change, we need to #FlipTheSenate and a win in #MSSen can get us there. Chip in:",27,22,,5,,,,2,2571654579716796,/story.php?story_fbid=2571654579716796&id=2081864865362439
Mike Espy,,2020-02-29 11:05:31,"If you'll be out of town or working on Election Day, there's still time left to vote absentee in-person today or next Saturday. #MSSen",15,13,,2,,,,,2571623803053207,/story.php?story_fbid=2571623803053207&id=2081864865362439
Mike Espy,,2020-02-28 10:34:01,We are just getting started. This is a grassroots powered campaign. Thank you to everyone for chipping in whatever they can to bring change to Mississippi. #MSSen,563,409,1,152,1,,,43,2570861033129484,/story.php?story_fbid=2570861033129484&id=2081864865362439
Mike Espy,,2020-02-27 15:31:46,"If you'll be working on Election Day, Mar 10, and can't take off during the times at which the polls will be open, you are eligible to vote absentee in-person or by mail.  You can vote at your local Circuit Clerk's office the next two Saturdays (Feb 29 and Mar 7) from 8am-12pm.",47,45,,2,,,,5,2570283266520594,/story.php?story_fbid=2570283266520594&id=2081864865362439
Mike Espy,,2020-02-26 16:53:22,The House just passed long overdue legislation making lynching a federal hate crime. The Emmett Till Anti-Lynching Act finally addresses this reprehensible chapter in American history.,95,75,,15,3,2,,3,2569572239925030,/story.php?story_fbid=2569572239925030&id=2081864865362439
Mike Espy,,2020-02-25 13:00:41,"Make sure you vote in the March 10 Primary Election. If you are eligible, you can vote now absentee in-person or by mail. Go to your local Circuit Clerk’s office. They’re open during the week and also the next two Saturdays from 8am-12pm.",60,56,,4,,,,3,2568675110014743,/story.php?story_fbid=2568675110014743&id=2081864865362439
Mike Espy,,2020-02-24 19:43:43,"No longer a hidden figure, thank you Katherine Johnson for changing the course of history.",276,157,1,78,,40,,10,2568163983399189,/story.php?story_fbid=2568163983399189&id=2081864865362439
Mike Espy,,2020-02-24 19:40:59,B. Smith was one of a kind. She was always a friend to me in DC and when she would come to Jackson for book signings. Alzheimer’s is a hard disease and she battled it bravely. My condolences to her family and friends.,58,27,,6,,25,,3,2568162776732643,/story.php?story_fbid=2568162776732643&id=2081864865362439
Mike Espy,,2020-02-22 22:19:45,"Thank you to Hanging Moss Road Church of Christ for the invitation to speak at your Annual Black History Month Banquet.  The time for us to get off the porch and do something is now. If the change we desire is going to happen, we must all get involved.  Register to vote. Get your family and friends registered. Go vote. And get involved.",37,32,,5,,,,,2566670473548540,/story.php?story_fbid=2566670473548540&id=2081864865362439
Mike Espy,,2020-02-21 12:57:19,Statement on Senator Hyde-Smith's Blind Complicity in Foreign Election Interference:,114,97,,4,9,2,2,8,2565612666987654,/story.php?story_fbid=2565612666987654&id=2081864865362439
Mike Espy,,2020-02-21 10:10:42,"How many election protection bills have to be passed by the House for the Senate to do anything? Confidence in our elections is paramount to the functioning of our democracy. When our politicians play partisan games with our elections, the American people lose.",63,38,,2,,1,22,7,2565509600331294,/story.php?story_fbid=2565509600331294&id=2081864865362439
Mike Espy,,2020-02-20 22:02:09,In Hattiesburg tonight speaking at the 4th Congressional District’s Democratic executive committee meeting. There is a path to victory here in Mississippi and we’re putting in the work. #MSSen,92,89,,2,1,,,4,2565112930370961,/story.php?story_fbid=2565112930370961&id=2081864865362439
